# uniform1 uniform2 gaussian1 gaussian2
  0.533521 0.802035 1.547005 0.721541
  0.249288 0.341605 2.338626 -0.461330
  0.176611 0.243645 -0.236791 0.540350
  0.396871 0.068463 1.176251 0.468848
  0.307503 0.665130 2.822737 -0.343837
  0.310662 0.406614 0.372381 0.684959
  0.105897 0.534922 -0.421134 0.951952
  0.724925 0.786302 -0.984621 0.560337
  0.065614 0.621321 -0.873535 -0.161555
  0.715824 0.447051 0.616197 1.883797
  0.210935 0.914544 1.591470 0.886453
  0.928226 0.256474 -0.854451 0.412445
  0.271069 0.215527 1.585189 0.787637
  0.980156 0.372655 -0.083346 0.278044
  0.766293 0.492721 0.670232 0.418416
  0.988961 0.625979 0.327975 -1.266018
  0.838872 0.624588 0.798971 0.075858
  0.527654 0.477468 -0.374522 0.151503
  0.380076 0.792617 -0.811637 0.009892
  0.318295 0.994746 0.586773 -0.909387
  0.664689 0.823368 2.011988 -0.686980
  0.466993 0.555327 -0.833171 -0.733885
  0.545053 0.459421 -0.737739 -0.914728
  0.606232 0.303585 -0.733087 -0.932742
  0.142524 0.456823 0.715545 -0.954456
  0.325348 0.672974 1.122603 0.214498
  0.485479 0.355230 1.423948 0.987767
  0.107271 0.451905 0.130879 -2.049709
  0.768739 0.962815 -0.840160 -1.631490
  0.258439 0.685519 0.783776 1.566836
  0.371545 0.987293 0.079170 0.941604
  0.249934 0.004234 -0.812851 0.444599
  0.317540 0.067619 0.890936 1.047499
  0.230708 0.055242 -1.440318 -1.037588
  0.404143 0.080540 -0.311508 -0.712567
  0.340833 0.598519 1.013734 0.980708
  0.455680 0.768385 1.177000 0.008828
  0.756602 0.544853 -1.434408 -0.633161
  0.746619 0.122916 0.372866 1.871641
  0.959162 0.915792 0.813305 0.463222
  0.235154 0.129725 -0.953531 1.778197
  0.256998 0.309822 0.549089 -1.746354
  0.087334 0.627353 -0.800795 1.154008
  0.388377 0.529076 -0.900081 -0.609707
  0.289118 0.565495 -0.658887 -0.679596
  0.897475 0.787418 -0.298575 1.690874
  0.102032 0.507963 -0.210834 -0.868546
  0.439208 0.049700 -1.044171 -0.480735
  0.291847 0.792683 1.222010 -0.064613
  0.777088 0.775600 0.966325 -0.298874
  0.271672 0.159791 -1.013257 -0.709989
  0.292505 0.115599 -0.215942 1.519505
  0.380716 0.540520 -0.461680 -0.267018
  0.986717 0.248726 0.133913 -2.149653
  0.187027 0.179579 -0.588372 -0.333826
  0.860215 0.742962 -2.289417 -2.861955
  0.690545 0.575651 2.288661 0.197964
  0.704667 0.329813 0.093673 0.799869
  0.122927 0.185893 -1.641407 1.604349
  0.999366 0.968667 -0.764052 1.068793
  0.601142 0.827430 0.664826 -0.409376
  0.116183 0.474812 -0.518821 -1.035898
  0.832697 0.125578 0.080368 1.829400
  0.357621 0.811732 -1.304186 0.353794
  0.523186 0.965720 0.028169 1.094319
  0.081233 0.272001 -0.628551 0.900640
  0.953368 0.022469 0.406233 -0.196681
  0.283129 0.978438 0.750764 0.636604
  0.340472 0.510330 0.893951 -1.117725
  0.333348 0.662553 -0.058348 0.195901
  0.443011 0.424700 -1.156422 -0.919642
  0.379968 0.597250 -0.011179 -1.251384
  0.949827 0.244029 0.354287 -0.964363
  0.258850 0.470062 0.002059 0.389756
  0.518129 0.828280 -0.201073 -0.235483
  0.101837 0.399095 1.202095 -2.095131
  0.685275 0.757876 -0.695490 0.469285
  0.447541 0.624479 0.847541 0.468103
  0.158610 0.828414 0.674036 -0.450489
  0.698687 0.272831 0.532999 -0.166550
  0.182783 0.728461 -0.212434 0.232273
  0.579993 0.941737 0.287051 -1.100957
  0.147776 0.833477 -1.516680 0.769800
  0.381969 0.212191 0.255542 0.927194
  0.874710 0.423719 -2.087114 0.489829
  0.143345 0.684899 -1.736970 1.105103
  0.302357 0.645708 -0.943226 0.038373
  0.823266 0.785546 -2.183483 1.358313
  0.936457 0.838870 1.121681 -0.025608
  0.655955 0.054375 -0.572841 1.069437
  0.578124 0.775941 0.499570 -0.638294
  0.447086 0.040709 2.788005 0.139042
  0.840868 0.128086 -0.817736 0.223238
  0.632709 0.286421 -1.623964 -1.103875
  0.253952 0.731338 0.999699 0.744294
  0.184601 0.121119 1.830268 0.320667
  0.777700 0.234812 0.152057 -0.263660
  0.136937 0.916156 -0.761559 0.107304
  0.729048 0.197901 0.628575 0.380594
  0.441840 0.420349 1.712055 1.257859
  0.661799 0.942752 0.229436 -0.580877
  0.364320 0.452880 0.520195 1.004443
  0.949586 0.180976 -0.295036 0.490934
  0.597771 0.070994 0.597110 0.913610
  0.568427 0.218007 0.240716 -2.193514
  0.257526 0.786960 0.269752 -0.724217
  0.366892 0.539271 0.983262 0.197668
  0.342027 0.631936 -0.111050 0.989608
  0.570668 0.794400 2.481949 -0.430440
  0.784989 0.863845 -1.949314 -0.315591
  0.706098 0.156449 -1.646120 -0.028816
  0.281369 0.821363 -0.238445 0.751683
  0.084148 0.137129 -0.357486 -0.193414
  0.460596 0.501140 0.172767 -1.120300
  0.809526 0.624572 -0.358474 0.416445
  0.423651 0.932215 0.361042 -1.097499
  0.144297 0.055664 -1.456102 -0.237177
  0.485249 0.489650 -0.534489 -1.160250
  0.337610 0.451635 -1.565985 0.536896
  0.707353 0.460156 1.392113 -0.299007
  0.468982 0.202675 1.329473 -0.028525
  0.713166 0.783908 -0.917129 0.639017
  0.353650 0.948122 -0.523913 0.876591
  0.565134 0.836503 1.154033 0.572920
  0.140128 0.586838 -0.706682 0.373846
  0.233527 0.182110 2.176811 -1.060492
  0.386794 0.720806 -0.620745 1.814422
  0.188881 0.825678 -1.152591 -0.164686
  0.945338 0.614022 1.566147 0.396065
  0.232194 0.299513 1.304862 -0.412681
  0.567566 0.515118 1.144349 -0.554078
  0.311666 0.519024 0.961000 -0.210865
  0.769857 0.059518 0.854009 -0.975073
  0.692186 0.774950 -0.068752 0.923511
  0.102480 0.654493 0.023135 -0.771196
  0.391924 0.526087 -0.802251 -0.238887
  0.377511 0.686357 1.635215 -0.411460
  0.606625 0.448057 -0.946328 0.883826
  0.705746 0.345443 -0.227929 0.812016
  0.186394 0.835930 0.011028 -1.165746
  0.117424 0.567627 0.857291 0.633874
  0.277617 0.802469 -0.575550 0.522175
  0.178897 0.745785 1.682830 -1.936879
  0.012201 0.439395 -0.594758 -0.458475
  0.567197 0.185462 -1.193368 -0.393840
  0.067504 0.161047 0.190499 -1.285824
  0.977600 0.896375 3.218733 0.658174
  0.471976 0.396043 0.230252 1.014177
  0.666904 0.874153 0.579008 -1.133257
  0.618264 0.392326 0.062993 -1.490864
  0.166994 0.356901 -1.228324 -0.820455
  0.475499 0.169995 0.794185 1.855270
  0.673340 0.705451 -0.767737 1.668600
  0.880209 0.992197 -1.567003 0.923796
  0.254013 0.589752 0.325006 -0.468801
  0.737914 0.448147 -1.541339 -0.605447
  0.893759 0.278594 -1.155502 -0.071985
  0.821348 0.425288 0.757054 0.561230
  0.298850 0.217803 0.256242 -0.936760
  0.422489 0.865756 0.185274 -0.579315
  0.762745 0.371984 0.279101 2.050871
  0.381263 0.534195 -1.084286 -0.320382
  0.321683 0.022650 -0.040089 0.503838
  0.204329 0.407788 -0.281555 -0.232298
  0.937377 0.295058 -1.366274 -2.458071
  0.885059 0.989036 -0.066583 0.400744
  0.308203 0.765743 -0.588483 1.138747
  0.322468 0.792411 0.150322 -0.952058
  0.227538 0.034186 -0.099672 0.027637
  0.921812 0.059251 -0.912753 -0.617831
  0.336308 0.099477 -1.134414 -0.128683
  0.125391 0.734636 -1.234899 -2.031677
  0.595717 0.035044 -0.170232 -1.057362
  0.998541 0.706451 -0.915950 1.140432
  0.650049 0.621354 -0.519426 0.655742
  0.366141 0.089217 -0.875568 1.457960
  0.783150 0.707638 1.590184 -0.578822
  0.224213 0.788568 0.540779 0.064530
  0.461122 0.943820 -0.425805 0.689938
  0.102015 0.655696 -0.505961 -0.046466
  0.319325 0.032741 -0.720656 0.087357
  0.641813 0.256615 0.436559 0.340744
  0.808580 0.627615 -0.074780 0.305409
  0.488017 0.946874 -0.870285 0.569154
  0.426958 0.683735 2.377222 2.494830
  0.410195 0.540714 -1.454877 1.191753
  0.466853 0.400613 -1.409914 0.840560
  0.570328 0.393048 -0.996985 -0.998568
  0.957406 0.249054 -0.806754 0.425615
  0.605628 0.972591 -0.776561 -0.414699
  0.508093 0.194517 -0.472767 0.711575
  0.382797 0.626392 -0.248964 -0.497916
  0.451607 0.451962 -2.112699 -0.888243
  0.340556 0.428210 0.144503 0.632365
  0.482094 0.104444 -0.165293 0.248449
  0.377006 0.466996 0.131719 -0.123329
  0.945218 0.104628 -0.800598 1.020501
  0.826914 0.297941 -0.095595 0.281381
  0.170008 0.377264 0.420579 0.080580
  0.444192 0.415072 1.390222 -1.006466
  0.209322 0.738288 -0.760910 0.513001
  0.478034 0.608867 -0.629747 0.695048
  0.310439 0.081274 0.667114 -1.999837
  0.822583 0.508298 -0.472218 -2.090670
  0.561832 0.383107 1.742538 -0.015538
  0.699061 0.343600 -0.259909 1.019244
  0.812974 0.600092 0.788925 0.373498
  0.237386 0.000558 1.490260 -0.387623
  0.755836 0.023384 -1.769693 1.877447
  0.566582 0.166445 -0.773451 1.213317
  0.713693 0.036042 -0.411835 -0.182404
  0.542279 0.107849 1.121770 -0.332460
  0.552066 0.322953 -0.154494 0.563318
  0.568172 0.702158 -1.883804 -1.360339
  0.192888 0.451511 1.920674 -0.483116
  0.555635 0.758848 -0.403166 -1.421894
  0.503005 0.091540 0.581466 -2.407087
  0.457936 0.745154 1.096293 0.245507
  0.518633 0.928864 0.605128 -1.007173
  0.351183 0.892210 -0.498208 -0.800542
  0.843518 0.851531 1.300685 -1.233793
  0.605974 0.580346 -2.475909 1.335018
  0.648216 0.806628 -0.732100 -0.696558
  0.087293 0.797561 -0.042950 0.324280
  0.470632 0.142353 1.776158 0.111777
  0.784288 0.062554 -1.160508 0.870675
  0.837107 0.786372 -2.025313 -1.669006
  0.058670 0.440292 0.574806 0.927377
  0.619585 0.611339 -0.936441 1.479514
  0.354424 0.690453 -1.556671 0.050776
  0.029829 0.811382 -0.702044 1.171118
  0.408993 0.004186 1.087744 0.814544
  0.677310 0.237689 0.756227 0.637194
  0.442340 0.205356 1.828074 0.319552
  0.662298 0.049237 0.657746 0.350058
  0.012567 0.605085 -1.031201 0.338904
  0.993615 0.192772 -0.227795 1.002427
  0.309993 0.532210 0.099416 -0.965685
  0.959999 0.099057 -0.807018 0.758347
  0.622284 0.167270 -0.323362 1.182974
  0.504503 0.884135 -0.449867 -0.650934
  0.243848 0.054547 -1.149250 -0.715498
  0.071907 0.459158 -1.626016 -1.135936
  0.005769 0.979324 0.800994 -0.446925
  0.428951 0.045926 0.356930 2.191309
  0.187829 0.341436 1.582084 -2.009714
  0.225693 0.752907 0.265181 0.166429
  0.590907 0.769362 -0.343919 -1.569545
  0.161513 0.358819 0.743001 0.475514
  0.801032 0.546756 0.436742 1.554595
  0.685299 0.293593 1.265969 0.184098
  0.027403 0.886709 -1.256115 -0.140296
  0.685878 0.265039 0.448512 0.383778
  0.088195 0.481849 0.698583 0.240950
  0.337962 0.323272 -0.443660 0.049494
  0.546806 0.180554 -0.833207 -0.417892
  0.935888 0.268650 0.655222 -1.320924
  0.453997 0.697461 -1.636917 1.002599
  0.712905 0.220096 -0.451922 0.192706
  0.665544 0.299728 -2.124190 -0.525057
  0.955854 0.216001 -0.891814 2.108533
  0.640274 0.512849 0.798148 -0.289907
  0.610030 0.341828 -1.098455 -3.291423
  0.250085 0.701675 -0.575082 -2.320228
  0.267338 0.121323 0.526019 -0.411543
  0.378758 0.320001 -0.702209 0.824630
  0.900728 0.200380 -0.316565 -1.432115
  0.664903 0.223095 -0.209903 -0.154720
  0.007885 0.680630 1.209942 0.281643
  0.597007 0.198611 0.358358 1.325733
  0.672155 0.646011 -0.647184 0.119463
  0.610311 0.803174 -0.384324 -0.113428
  0.702519 0.630102 0.033528 -0.800056
  0.849334 0.869901 -1.162854 -0.793556
  0.034239 0.867819 -1.400403 1.545272
  0.718374 0.039583 1.028394 0.045942
  0.678227 0.698506 0.386715 0.677195
  0.750968 0.564577 0.937543 0.455343
  0.543934 0.003525 0.029179 -0.758433
  0.671205 0.756664 0.265563 0.198700
  0.479536 0.853633 -1.020514 -0.398610
  0.672130 0.599235 1.445526 -1.519715
  0.894774 0.116632 -1.419426 -0.206881
  0.897425 0.550488 -0.177086 -0.469400
  0.664654 0.078024 -0.165735 0.592628
  0.573003 0.430866 -0.235348 -0.119114
  0.612852 0.752608 -0.013229 1.672424
  0.689667 0.965209 2.358790 -0.264546
  0.864017 0.745013 -1.339326 0.629518
  0.070466 0.131833 1.708414 -0.429596
  0.854364 0.817318 0.020017 0.051056
  0.706827 0.037875 -0.562710 0.689336
  0.417563 0.804397 -0.040471 -0.914198
  0.035784 0.780215 -1.024475 0.225456
  0.767543 0.585675 0.635272 0.902498
  0.578503 0.545234 0.790554 0.542490
  0.906448 0.112165 1.131139 -0.430727
  0.260790 0.739878 1.323693 0.050522
  0.276849 0.075565 0.633288 -0.217435
  0.304188 0.381026 -0.790805 1.352888
  0.413980 0.458594 -1.006439 0.017732
  0.997138 0.486771 1.577816 1.785960
  0.827815 0.012327 -0.887549 -0.118228
  0.489018 0.954516 -1.308343 -0.712514
  0.862646 0.071482 0.474884 -1.216905
  0.534005 0.341942 -0.802768 1.136672
  0.419962 0.950643 0.253811 -1.064765
  0.051798 0.362281 -1.374502 1.023976
  0.952043 0.844792 -0.194366 0.052797
  0.287828 0.744919 -1.333153 1.536122
  0.725182 0.859839 1.406752 -1.408395
  0.946753 0.087277 -1.771560 1.067999
  0.605780 0.359509 0.389877 -1.632062
  0.444976 0.735838 1.604650 0.926258
  0.034607 0.283289 -0.220970 0.318293
  0.584196 0.560182 0.234569 -0.515387
  0.485357 0.042547 1.616898 0.028844
  0.821896 0.413453 -0.798403 0.280207
  0.202282 0.816135 -0.677924 1.635889
  0.061003 0.865064 -0.497513 0.593656
  0.648312 0.262231 -1.180154 -1.204407
  0.946752 0.694024 -2.211361 -0.541189
  0.454334 0.698623 -0.836075 0.240811
  0.933225 0.432232 -1.421821 0.146508
  0.476169 0.168948 -0.818881 0.289312
  0.878423 0.889287 0.121031 2.053402
  0.321755 0.379277 -1.225529 1.352027
  0.535822 0.292600 0.159437 0.460410
  0.722626 0.333577 0.877209 2.426593
  0.261587 0.708052 0.441305 0.490421
  0.027882 0.808309 0.965096 0.084934
  0.637539 0.093135 -0.365381 0.233044
  0.956707 0.158648 -0.956579 -2.433650
  0.103331 0.254856 0.538153 0.272571
  0.520715 0.074816 1.936710 1.777691
  0.768169 0.257362 -1.225703 0.342219
  0.844014 0.411363 -0.143544 -1.415360
  0.295468 0.628416 1.220981 1.436031
  0.983216 0.492195 0.936162 -1.868006
  0.971313 0.916861 -1.624683 -0.534376
  0.993920 0.778049 0.974327 0.340812
  0.649627 0.418710 -0.721655 -0.170335
  0.193553 0.266758 -0.876283 -0.078374
  0.284513 0.148533 0.942785 -1.150920
  0.587429 0.988196 0.931298 0.961641
  0.721553 0.828178 -0.017366 0.911172
  0.498236 0.497258 -1.002739 0.281305
  0.163219 0.806398 1.033754 0.044720
  0.531653 0.565335 -0.442818 0.250465
  0.791735 0.145951 0.090367 -1.168697
  0.306350 0.941428 -0.240118 0.462556
  0.272931 0.564987 -0.757588 -0.129966
  0.475841 0.170810 0.936139 0.413582
  0.024937 0.258060 -0.329027 0.459187
  0.826537 0.127560 2.046630 -0.894172
  0.067776 0.867335 -0.867746 -0.681697
  0.744647 0.374415 -0.084666 -0.616207
  0.406996 0.252975 -1.872058 0.699251
  0.265622 0.505575 0.344186 -0.156398
  0.560318 0.610085 0.429429 -0.677787
  0.866756 0.644821 -0.123898 1.795591
  0.547778 0.185756 0.948884 -1.192495
  0.953131 0.785112 -1.192016 0.396935
  0.951230 0.052316 -1.579785 -0.105891
  0.683838 0.753206 -0.282639 0.544254
  0.199076 0.747374 -0.246276 0.277900
  0.435303 0.652430 0.964016 0.039027
  0.439674 0.945432 0.438971 0.543211
  0.582525 0.006657 -0.405236 1.656307
  0.031029 0.176556 -0.401354 1.002056
  0.805477 0.362775 -0.699796 1.288842
  0.519464 0.196638 0.167167 -0.865163
  0.925271 0.636857 0.340431 -1.667123
  0.119384 0.406913 -1.233246 0.440313
  0.746812 0.559248 0.586427 -0.364487
  0.310327 0.053278 0.177351 0.426494
  0.799997 0.527965 0.025839 -0.696239
  0.921769 0.363867 0.667165 0.860660
  0.650358 0.608531 -0.630042 0.428051
  0.155754 0.424581 -0.393691 -0.901815
  0.604744 0.941241 0.117936 -1.451764
  0.018241 0.347186 0.802676 2.241383
  0.241266 0.993399 -0.958869 1.363446
  0.454320 0.289391 0.513813 -0.510175
  0.242112 0.930031 0.132605 -1.177222
  0.352555 0.197193 0.541824 0.507228
  0.195804 0.614973 1.623040 -0.556386
  0.018913 0.785373 0.481742 2.079993
  0.370196 0.966214 -1.210675 0.471554
  0.991282 0.567372 0.682978 1.078221
  0.173944 0.531112 -0.398459 -0.586161
  0.285251 0.559058 0.992363 0.679617
  0.893890 0.994041 1.738564 0.442497
  0.831527 0.886592 0.297948 0.343373
  0.797769 0.245141 -1.363743 -1.493517
  0.983885 0.736363 0.728677 -1.084281
  0.331185 0.125755 0.919846 -0.482331
  0.594233 0.693899 -0.220855 0.998942
  0.140645 0.868697 -0.214392 0.588565
  0.905829 0.494452 1.519197 -0.127723
  0.582847 0.002952 -1.993261 1.683043
  0.814195 0.410117 0.427079 -1.369456
  0.897526 0.175851 0.590780 -0.912377
  0.371408 0.869548 0.273759 0.606658
  0.222638 0.776025 0.570439 -0.770849
  0.849146 0.514858 -0.567389 1.840075
  0.172462 0.093035 -1.343598 0.219804
  0.916188 0.224977 0.494402 -0.175164
  0.792597 0.654910 0.887667 1.540546
  0.162741 0.505649 -0.388441 -0.687687
  0.864427 0.767897 -0.512046 -0.411092
  0.638822 0.650054 -0.476991 0.759360
  0.509283 0.183939 -0.645204 -0.779722
  0.968211 0.018123 0.951102 -0.851292
  0.377730 0.772062 -2.087778 -0.445533
  0.435768 0.764482 -0.516366 -0.021080
  0.192309 0.043984 -0.062118 1.596300
  0.938736 0.723683 0.789075 -0.693100
  0.515653 0.831035 -1.150936 1.640550
  0.372809 0.190918 -2.062636 0.110410
  0.966181 0.357106 1.009824 -1.164994
  0.199599 0.241055 0.442213 0.358844
  0.722464 0.342311 -1.250983 -0.341806
  0.139928 0.718274 0.260990 0.578810
  0.908143 0.962174 -0.778236 -1.543648
  0.183592 0.921007 -0.331096 0.052295
  0.734409 0.375670 0.695919 0.887869
  0.580081 0.623721 0.161890 0.587532
  0.648960 0.656624 -0.324175 0.581391
  0.647540 0.266696 0.718355 0.689785
  0.850851 0.357530 -0.755711 0.533730
  0.235075 0.279133 -0.413851 -0.001851
  0.300288 0.399745 -1.500885 0.760566
  0.734040 0.107274 -1.804039 -0.820290
  0.907485 0.297767 0.892162 -1.172467
  0.710561 0.742900 -0.980989 0.383485
  0.110287 0.650308 0.031061 0.776055
  0.349905 0.659253 0.107242 0.676404
  0.029286 0.689429 -0.181330 -0.215452
  0.591263 0.852025 -1.162543 1.418434
  0.563136 0.616807 0.024475 -0.171118
  0.623017 0.248883 -0.937869 -0.123366
  0.812535 0.177679 1.238172 0.752227
  0.131350 0.929553 -0.204664 -2.035095
  0.934126 0.775018 0.961622 0.536683
  0.809450 0.082269 -1.133034 -0.259052
  0.108392 0.071198 -1.293472 -1.168087
  0.539983 0.972059 0.438162 -0.707931
  0.662862 0.108863 0.671901 -0.781095
  0.347660 0.454464 1.684026 0.244582
  0.328937 0.768554 0.815304 2.389293
  0.765141 0.589804 -0.213641 -0.201359
  0.647700 0.644085 -0.099535 -1.232568
  0.947778 0.166713 -0.671488 -0.584855
  0.676343 0.611151 1.941623 3.564180
  0.474477 0.010940 -0.369633 1.470219
  0.316350 0.022723 0.920799 2.060732
  0.610955 0.099327 0.782899 -1.391835
  0.879946 0.878963 -2.367186 0.325629
  0.666237 0.935105 0.884606 -0.200699
  0.697775 0.658415 -0.927556 -0.472938
  0.430462 0.329516 -0.565955 -0.374984
  0.688262 0.158642 0.325548 0.369156
  0.471476 0.716095 -0.410017 0.877531
  0.741594 0.414413 -0.104830 -0.311607
  0.912981 0.097362 -0.682953 -0.327247
  0.984011 0.404908 -1.914280 -0.089402
  0.727515 0.990795 0.681956 0.539900
  0.730630 0.068314 0.921198 1.645895
  0.636192 0.271027 -0.056917 -0.444089
  0.955225 0.076950 0.045691 1.634254
  0.485608 0.011029 -0.749700 0.164653
  0.990647 0.276958 -1.220327 0.682026
  0.813803 0.735783 0.160756 -0.664211
  0.909406 0.829980 -0.270405 -0.304703
  0.803862 0.283408 -0.084006 0.596481
  0.761609 0.528072 -0.094209 -1.452985
  0.668388 0.399616 1.040240 0.070610
  0.561840 0.760094 -0.504537 -1.607251
  0.231301 0.293411 -0.148957 0.717117
  0.423158 0.139622 0.896716 -1.119405
  0.279024 0.081796 1.764043 0.082757
  0.956583 0.980612 -0.314033 1.435949
  0.033225 0.886341 -0.401014 0.699758
  0.532971 0.232535 -1.418429 -0.560282
  0.218935 0.682873 -0.638342 -0.001217
  0.270070 0.671996 0.150593 -0.182097
  0.779596 0.471639 -0.504047 1.688031
  0.950562 0.777907 -1.480248 0.056164
  0.218100 0.562641 -0.510682 -0.037478
  0.123431 0.194286 1.325725 0.391997
  0.228595 0.880986 0.323496 -2.032850
  0.075814 0.442893 -0.709070 -0.891059
  0.074558 0.041462 0.377494 2.134607
  0.099096 0.955384 -0.481761 0.050787
  0.002143 0.477099 1.234465 -0.223950
  0.409752 0.474676 -0.038419 0.729314
  0.463833 0.134504 0.470038 1.135639
  0.851095 0.333723 0.691727 -1.102500
  0.377441 0.042538 -1.015970 1.365804
  0.763667 0.269043 0.128524 -0.209045
  0.616683 0.240102 3.490828 -0.418846
  0.385205 0.071502 0.663959 -0.487786
  0.776787 0.557731 -0.993612 1.975714
  0.454605 0.957351 -0.260865 -0.006728
  0.132125 0.701584 0.157564 -0.196278
  0.120386 0.927664 0.414559 -0.668340
  0.680262 0.227992 -0.624731 0.182169
  0.465263 0.836015 -0.584015 0.548019
  0.669198 0.432666 -0.679959 1.028367
  0.590130 0.173585 1.136376 0.099216
  0.168280 0.631567 -0.519272 1.343573
  0.885857 0.032680 0.605496 1.555938
  0.448268 0.869587 -0.256747 0.987430
  0.641000 0.715814 -1.654903 -0.546315
  0.551454 0.705385 -2.581853 1.077854
  0.513475 0.153501 0.272449 -1.773134
  0.841407 0.509374 -0.860032 -1.440034
  0.588189 0.458537 0.793559 1.515062
  0.138340 0.796615 0.115648 0.547127
  0.649577 0.681326 0.891373 1.478953
  0.645090 0.159095 -0.310177 -0.147917
  0.858911 0.250784 0.923854 -0.532687
  0.060407 0.796361 0.391292 0.313787
  0.160742 0.248324 -0.692502 0.302303
  0.363030 0.308361 0.089350 0.202199
  0.734080 0.995693 1.716546 -0.717009
  0.376580 0.808251 -0.325840 0.608631
  0.751191 0.303371 -0.309836 1.881616
  0.900675 0.744399 1.339311 0.880243
  0.189055 0.073285 -0.678527 0.002956
  0.474195 0.735063 1.010782 -0.123326
  0.921040 0.691660 -0.930686 1.428546
  0.181303 0.735682 0.782992 1.085971
  0.927266 0.368659 0.562843 -0.600607
  0.222758 0.891516 -0.081211 -0.215694
  0.126729 0.756423 -0.577372 -0.043199
  0.718934 0.702555 0.360414 1.358501
  0.365817 0.255735 1.090709 -0.005710
  0.038819 0.391608 -0.367224 -0.637236
  0.892158 0.747431 1.590433 0.347733
  0.630616 0.754892 -0.633104 0.096849
  0.342544 0.547869 0.124402 1.334734
  0.369115 0.991518 -1.449027 -0.431316
  0.924221 0.681383 0.686776 0.915458
  0.055037 0.229888 -0.256857 0.954754
  0.900997 0.714476 -0.088340 -0.434440
  0.692336 0.071959 0.207305 0.202469
  0.504518 0.269363 0.429547 -0.262530
  0.682782 0.620413 -1.099214 0.049289
  0.383431 0.163087 -0.649843 -0.302081
  0.139645 0.495220 2.053651 0.467732
  0.169681 0.872016 0.426912 -0.110081
  0.995787 0.726750 -0.181108 -0.686235
  0.029697 0.898434 -0.998688 -0.226199
  0.308633 0.403231 2.114081 -0.907838
  0.261105 0.504579 -2.078469 0.348824
  0.664455 0.457062 1.124369 0.645271
  0.471114 0.883722 0.075663 -0.239868
  0.397162 0.158699 1.548580 0.198878
  0.911839 0.557849 2.256010 -0.342192
  0.064885 0.253235 2.135315 0.216558
  0.286502 0.188112 -0.309135 0.442276
  0.770273 0.473271 0.454794 2.009070
  0.182102 0.046934 -1.370319 -0.125713
  0.176210 0.502450 -0.251589 0.484461
  0.547300 0.113884 1.567544 0.510948
  0.741318 0.049104 -0.541858 -1.204948
  0.826113 0.872644 0.284993 -0.049709
  0.010502 0.221571 1.177545 -1.635969
  0.187867 0.618024 -0.181168 -1.405149
  0.164665 0.548281 -1.388477 -1.555932
  0.636831 0.912635 -1.114330 1.254277
  0.674973 0.620370 -0.125017 -0.670020
  0.489431 0.850384 -0.681455 -0.158747
  0.192528 0.404526 -0.892940 -1.277214
  0.667326 0.250418 0.575309 -1.265463
  0.140657 0.847818 0.864458 -0.298394
  0.587482 0.353079 0.171205 -0.585944
  0.026811 0.206890 -0.046594 -1.731391
